BEGINTIME,HOSTCUPSEC,HOSTCUPCT,CUPSEC,DBCPUTIMRATIO, AVGACTSESS,SESSCNT,LOAD,EXECPSEC,EXECPTXN,EXECPUSERCALL,RESPTPTXN,SQLRESPT,USERCALLSPSEC,USERCALLSPTXN,USERTXNPSEC,SHRFREEPCT,ENQRPTXN,DBBCHNGPTXN,REDOPSEC_MB,REDOPTXN_MB,PARSEPTXN
2019-05-21 13:58:57 ,  000001.445 ,   003.611 ,  0001.231 ,	 0095.960 ,	  0001 ,    0413 ,  001.000 ,	 00445 ,    01112 ,	    00001 ,   003.208 ,  000.002 ,	   00534 ,	   01334 ,	 00000 ,    013.625 ,	 00643 ,    00000039 ,	   0000.00 ,	 0000.01 ,     00140
2019-05-21 13:59:57 ,  000001.876 ,   004.689 ,  0001.478 ,	 0092.230 ,	  0002 ,    0415 ,  002.000 ,	 01654 ,    00005 ,	    00001 ,   000.004 ,  000.001 ,	   02155 ,	   00006 ,	 00367 ,    013.675 ,	 00004 ,    00000017 ,	   0002.33 ,	 0000.01 ,     00000
2019-05-21 14:00:57 ,  000002.515 ,   006.286 ,  0002.200 ,	 0090.400 ,	  0002 ,    0414 ,  003.000 ,	 02257 ,    00005 ,	    00001 ,   000.005 ,  000.001 ,	   02388 ,	   00005 ,	 00492 ,    013.697 ,	 00004 ,    00000004 ,	   0000.34 ,	 0000.00 ,     00001
2019-05-21 14:01:57 ,  000001.717 ,   004.291 ,  0001.480 ,	 0097.110 ,	  0002 ,    0413 ,  001.000 ,	 00967 ,    00006 ,	    00001 ,   000.009 ,  000.001 ,	   00934 ,	   00005 ,	 00175 ,    013.699 ,	 00005 ,    00000011 ,	   0000.38 ,	 0000.00 ,     00002
2019-05-21 14:02:57 ,  000001.364 ,   003.410 ,  0001.153 ,	 0099.070 ,	  0001 ,    0413 ,  001.000 ,	 00325 ,    00212 ,	    00001 ,   000.759 ,  000.003 ,	   00407 ,	   00265 ,	 00002 ,    013.701 ,	 00172 ,    00000039 ,	   0000.01 ,	 0000.01 ,     00039
2019-05-21 14:03:57 ,  000001.400 ,   003.499 ,  0001.204 ,	 0097.570 ,	  0001 ,    0413 ,  001.000 ,	 00291 ,    00120 ,	    00001 ,   000.507 ,  000.003 ,	   00414 ,	   00170 ,	 00002 ,    013.703 ,	 00111 ,    00000066 ,	   0000.03 ,	 0000.01 ,     00032
2019-05-21 14:04:57 ,  000001.374 ,   003.434 ,  0001.131 ,	 0099.550 ,	  0001 ,    0415 ,  001.000 ,	 00192 ,    00149 ,	    00001 ,   000.885 ,  000.004 ,	   00276 ,	   00215 ,	 00001 ,    013.701 ,	 00205 ,    00000077 ,	   0000.03 ,	 0000.02 ,     00051
2019-05-21 14:05:57 ,  000001.552 ,   003.880 ,  0001.282 ,	 0094.410 ,	  0001 ,    0413 ,  002.000 ,	 00543 ,    00189 ,	    00001 ,   000.474 ,  000.002 ,	   00727 ,	   00254 ,	 00003 ,    013.705 ,	 00102 ,    00000065 ,	   0000.04 ,	 0000.01 ,     00048
2019-05-21 14:06:57 ,  000001.548 ,   003.870 ,  0001.308 ,	 0099.510 ,	  0001 ,    0413 ,  001.000 ,	 00577 ,    00412 ,	    00001 ,   000.939 ,  000.002 ,	   00662 ,	   00473 ,	 00001 ,    013.706 ,	 00187 ,    00000040 ,	   0000.01 ,	 0000.01 ,     00035
2019-05-21 14:07:57 ,  000001.542 ,   003.854 ,  0001.249 ,	 0099.120 ,	  0001 ,    0413 ,  001.000 ,	 00807 ,    00314 ,	    00001 ,   000.491 ,  000.001 ,	   00987 ,	   00385 ,	 00003 ,    013.706 ,	 00106 ,    00000071 ,	   0000.03 ,	 0000.01 ,     00034
