BEGINTIME,HOSTCUPSEC,HOSTCUPCT,CUPSEC,DBCPUTIMRATIO, AVGACTSESS,SESSCNT,LOAD,EXECPSEC,EXECPTXN,EXECPUSERCALL,RESPTPTXN,SQLRESPT,USERCALLSPSEC,USERCALLSPTXN,USERTXNPSEC,SHRFREEPCT,ENQRPTXN,DBBCHNGPTXN,REDOPSEC_MB,REDOPTXN_MB,PARSEPTXN
2019-05-23 19:58:26 ,  000000.280 ,   000.699 ,  0000.002 ,	 0105.910 ,	  0000 ,    0321 ,  000.000 ,	 00004 ,    00018 ,	    00001 ,   000.009 ,  000.000 ,	   00006 ,	   00024 ,	 00000 ,    016.633 ,	 01093 ,    00000007 ,	   0000.00 ,	 0000.00 ,     00016
2019-05-23 19:59:26 ,  000000.416 ,   001.039 ,  0000.038 ,	 0057.840 ,	  0000 ,    0225 ,  001.000 ,	 00009 ,    00047 ,	    00001 ,   000.331 ,  000.001 ,	   00009 ,	   00044 ,	 00000 ,    018.483 ,	 01352 ,    00000064 ,	   0000.00 ,	 0000.02 ,     00045
2019-05-23 20:00:26 ,  000000.877 ,   002.191 ,  0000.518 ,	 0065.840 ,	  0001 ,    0198 ,  002.000 ,	 00044 ,    00204 ,	    00002 ,   003.629 ,  000.005 ,	   00026 ,	   00121 ,	 00000 ,    018.552 ,	 01521 ,    00027811 ,	   0002.24 ,	 0010.33 ,     00172
2019-05-23 20:01:26 ,  000003.624 ,   009.058 ,  0001.149 ,	 0090.310 ,	  0001 ,    0204 ,  004.000 ,	 00567 ,    02834 ,	    00011 ,   006.361 ,  000.001 ,	   00052 ,	   00260 ,	 00000 ,    018.531 ,	 01305 ,    00000024 ,	   0000.00 ,	 0000.01 ,     02643
2019-05-23 20:02:26 ,  000003.754 ,   009.382 ,  0000.534 ,	 0099.930 ,	  0001 ,    0203 ,  002.000 ,	 00361 ,    01969 ,	    00133 ,   002.916 ,  000.000 ,	   00003 ,	   00015 ,	 00000 ,    018.531 ,	 01393 ,    00000012 ,	   0000.00 ,	 0000.00 ,     01965
2019-05-23 20:03:26 ,  000001.761 ,   004.402 ,  0000.024 ,	 0059.630 ,	  0000 ,    0203 ,  001.000 ,	 00014 ,    00076 ,	    00001 ,   000.217 ,  000.001 ,	   00024 ,	   00132 ,	 00000 ,    018.521 ,	 01487 ,    00000012 ,	   0000.00 ,	 0000.01 ,     00059
2019-05-23 20:04:26 ,  000001.782 ,   004.453 ,  0000.050 ,	 0074.710 ,	  0000 ,    0205 ,  001.000 ,	 00027 ,    00135 ,	    00001 ,   000.336 ,  000.001 ,	   00054 ,	   00270 ,	 00000 ,    018.518 ,	 01429 ,    00000086 ,	   0000.00 ,	 0000.01 ,     00102
2019-05-23 20:05:26 ,  000002.175 ,   005.437 ,  0000.033 ,	 0065.780 ,	  0000 ,    0203 ,  002.000 ,	 00022 ,    00121 ,	    00000 ,   000.274 ,  000.001 ,	   00048 ,	   00261 ,	 00000 ,    018.519 ,	 01537 ,    00000014 ,	   0000.01 ,	 0000.03 ,     00085
2019-05-23 20:06:26 ,  000002.877 ,   007.191 ,  0000.033 ,	 0053.760 ,	  0000 ,    0203 ,  003.000 ,	 00015 ,    00081 ,	    00001 ,   000.333 ,  000.001 ,	   00030 ,	   00161 ,	 00000 ,    018.519 ,	 01472 ,    00000016 ,	   0000.00 ,	 0000.00 ,     00058
2019-05-23 20:07:26 ,  000002.524 ,   006.310 ,  0000.039 ,	 0073.530 ,	  0000 ,    0203 ,  001.000 ,	 00020 ,    00107 ,	    00000 ,   000.288 ,  000.001 ,	   00041 ,	   00223 ,	 00000 ,    018.518 ,	 01508 ,    00000011 ,	   0000.00 ,	 0000.00 ,     00074
2019-05-23 20:08:26 ,  000003.353 ,   008.380 ,  0000.019 ,	 0067.630 ,	  0000 ,    0203 ,  003.000 ,	 00021 ,    00113 ,	    00001 ,   000.153 ,  000.000 ,	   00024 ,	   00133 ,	 00000 ,    018.518 ,	 01543 ,    00000183 ,	   0000.01 ,	 0000.03 ,     00086
